笔记官方地址,笔记标题,预估阅读量,互动量,点赞数,收藏数,评论数,分享数,发布时间,封面图片地址,视频链接,是否商业笔记,报备品牌企业号,提及品牌,是否参与付费推广,达人名称,小红书号,主页链接,粉丝数,联系方式,笔记类型
https://www.xiaohongshu.com/explore/69dc66ea000000001b021e87?xhsshare=CopyLink&type=video,奶香奶香的曲奇🍪,65,1,0,0,1,1,2026-04-13 11:45:46,http://sns-img-hw.xhscdn.com/1040g2sg31usto31p2g2g5q2jvm4nah7r11gi10o?imageView2/2/w/360/format/webp,--,否,--,--,否,萝卜爱做饭,95879197125,https://www.xiaohongshu.com/user/profile/6853fd89000000001d0144fb,2,--,图文笔记
https://www.xiaohongshu.com/explore/69d76c640000000023020c9d?xhsshare=CopyLink&type=video,不晨跑的日子，被榆钱窝窝头治愈了,10,1,1,0,0,0,2026-04-09 17:07:49,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k831uo226ll1mc05om06l5mssj0th39o00?imageView2/2/w/360/format/webp,--,否,--,--,否,华帝厨装管家-红姐,5388408276,https://www.xiaohongshu.com/user/profile/62c0354b000000001b027260,101,--,图文笔记
https://www.xiaohongshu.com/explore/69d8ef2d000000002302117c?xhsshare=CopyLink&type=video,西门子智魔方Z5智语蒸烤一体机,10,1,1,0,0,0,2026-04-10 20:38:05,http://sns-img-hw.xhscdn.com/1040g00831uphcjo7is6g5oia6rgk0rrpgh0o1ro?imageView2/2/w/360/format/webp,http://sns-video-al.xhscdn.com/stream/1/110/258/01e9d8ef2c52273a010370019d7766b0fb_258.mp4?sign=733bf905047314365aafac4fdbb0e159&t=69d95522,否,--,--,否,徐州金鹰西门子家电,1310644925,https://www.xiaohongshu.com/user/profile/624a36e10000000010006f79,98,--,视频笔记
https://www.xiaohongshu.com/explore/69df5259000000001d01b030?xhsshare=CopyLink&type=video,第一次就成功的云朵面包,46,1,1,0,0,1,2026-04-15 16:54:49,http://sns-img-hw.xhscdn.com/1040g00831uvo16is2skg5nu7hil08p1rnppvgvo?imageView2/2/w/360/format/webp,--,否,--,--,否,西门子家电方方,1070307535,https://www.xiaohongshu.com/user/profile/5fc78caa000000000100643b,6,--,图文笔记
https://www.xiaohongshu.com/explore/69e0ae8d000000001b0235cb?xhsshare=CopyLink&type=video,打工人备餐神器✨用它轻松搞定一周早餐,10,1,1,0,0,0,2026-04-16 17:40:29,http://sns-img-hw.xhscdn.com/spectrum/1040g0k031v13b43ojm005nomlac09b66hgan5s8?imageView2/2/w/360/format/webp,http://sns-video-hs.xhscdn.com/stream/1/110/258/01e9e0acdf09e2d9010370019d95aa8282_258.mp4?sign=560384f22067615524ed7b4b71e7c179&t=69e235ca,否,--,[东芝],否,东芝西式厨电,310312548,https://www.xiaohongshu.com/user/profile/5f16aa98000000000100acc6,2880,--,视频笔记
https://www.xiaohongshu.com/explore/69d9d0330000000023015d18?xhsshare=CopyLink&type=video,标题：厨房小白逆袭！蒸烤箱做万物😋,10,1,1,0,0,0,2026-04-11 12:38:11,http://sns-img-hw.xhscdn.com/1040g2sg31uqcsmhn2qeg49hv1sn3posp9d3rtm0?imageView2/2/w/360/format/webp,--,否,--,--,否,芽芽猪宝,269641233,https://www.xiaohongshu.com/user/profile/592fae3c50c4b4051db0e399,76,--,图文笔记
https://www.xiaohongshu.com/explore/69d08e4500000000210392da?xhsshare=CopyLink&type=video,东芝D4000微蒸烤一体机，五合一全能王,10,1,1,0,0,0,2026-04-04 12:06:29,http://sns-img-hw.xhscdn.com/1040g2sg31uhbi3skioe05ovo3dg3q0omqisvuo0?imageView2/2/w/360/format/webp,http://sns-video-hs.xhscdn.com/stream/1/110/258/01e9d08e45520b8d010370019d56ac32c6_258.mp4?sign=a7e31bc0ccd59cb8868c7da336595bdd&t=69d1bd79,否,--,--,否,郑州东芝 青,Gik825,https://www.xiaohongshu.com/user/profile/63f81b60000000000f010316,322,--,视频笔记
https://www.xiaohongshu.com/explore/69d0ae580000000022025686?xhsshare=CopyLink&type=video,免费学习烘焙了,46,1,1,0,0,1,2026-04-04 14:23:20,http://sns-img-hw.xhscdn.com/1040g2sg31uhfg775iak05ngt250g8mbq8j81fco?imageView2/2/w/360/format/webp,http://sns-video-hw.xhscdn.com/stream/79/110/258/01e9d0ae572f44824f0370019d57296418_258.mp4?sign=738d6bbace84bb982aa6abca854318fb&t=69d0d7db,否,--,--,否,王彩云,835568801,https://www.xiaohongshu.com/user/profile/5e1d1141000000000100597a,42,--,视频笔记
https://www.xiaohongshu.com/explore/69d1fc0f000000001a037cf9?xhsshare=CopyLink&type=video,⚠️ 停止买老板厨电！4.7限时抽免单！,10,1,1,0,0,0,2026-04-05 14:07:11,http://sns-img-hw.xhscdn.com/spectrum/1040g34o31uio82eqhu105q60u67mfqk2ka5c19o?imageView2/2/w/360/format/webp,--,否,--,--,否,眯住甄选官,26846957248,https://www.xiaohongshu.com/user/profile/68c0f18f000000001903ea82,382,--,图文笔记
https://www.xiaohongshu.com/explore/69e051f50000000023005a0c?xhsshare=CopyLink&type=video,微蒸烤一体机买了会闲置吗#蒸烤箱 #让生活更美好的家电 #零距离嵌入,6,1,0,0,1,0,2026-04-16 11:05:25,http://sns-img-hw.xhscdn.com/notes_pre_post/1040g3k831v0o7ell2i705q9uhm60pr77ndpvok8?imageView2/2/w/360/format/webp,--,否,--,--,否,木子的小家,18630644818,https://www.xiaohongshu.com/user/profile/693e8d8c000000000300ece7,1041,--,图文笔记
